time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-10T15:50:02.566Z,19.8523,-76.8901,14.219,5.9,mww,64,58,0.464,0.82,us,us7000nr0n,2024-11-13T10:33:18.215Z,"35 km S of Bartolomé Masó, Cuba",earthquake,3.94,5.292,0.048,41,reviewed,us,us
2024-11-10T15:46:59.031Z,-30.4474,-177.8097,36.161,5.2,mb,40,113,1.185,1.1,us,us7000nr0k,2024-11-10T16:06:43.040Z,"Kermadec Islands, New Zealand",earthquake,9.4,7.437,0.082,49,reviewed,us,us
2024-11-10T14:57:45.963Z,25.7293,143.1985,43.975,4.7,mb,27,196,1.637,0.86,us,us7000nr0g,2024-11-10T15:17:19.040Z,"Volcano Islands, Japan region",earthquake,14.33,6.858,0.101,30,reviewed,us,us
2024-11-10T09:43:23.356Z,-20.7634,-178.5388,590.905,4.9,mb,77,47,4.402,0.75,us,us7000nqzm,2024-11-10T10:00:02.040Z,"Fiji region",earthquake,12.17,8.344,0.03,352,reviewed,us,us
2024-11-10T08:27:01.372Z,-16.0484,-172.1996,10,4.9,mb,35,89,2.165,1.18,us,us7000nqz1,2024-11-10T09:10:57.040Z,"171 km E of Hihifo, Tonga",earthquake,8.93,1.856,0.114,24,reviewed,us,us
2024-11-10T05:13:22.823Z,25.6555,142.824,10,4.9,mb,60,121,1.545,1.03,us,us7000nqy6,2024-11-10T05:39:45.040Z,"Volcano Islands, Japan region",earthquake,10.29,1.892,0.06,93,reviewed,us,us
2024-11-10T00:48:32.393Z,-22.5316,-174.7861,10,4.7,mb,22,157,1.41,0.64,us,us7000nqxm,2024-11-11T04:52:50.873Z,"132 km S of ‘Ohonua, Tonga",earthquake,19.05,1.935,0.142,15,reviewed,us,us
2024-11-09T21:20:41.874Z,-4.7705,137.7972,15.891,4.9,mb,47,64,3.665,0.43,us,us7000nqx9,2024-11-11T04:00:42.040Z,"93 km NNW of Agats, Indonesia",earthquake,8.89,4.454,0.069,65,reviewed,us,us
2024-11-09T20:37:51.040Z,45.3885,98.7827,10,5,mb,65,46,5.786,0.57,us,us7000nqx5,2024-11-10T14:55:16.865Z,"175 km WSW of Bayanhongor, Mongolia",earthquake,9.57,1.873,0.046,152,reviewed,us,us
2024-11-09T19:30:18.770Z,7.4968,-82.3955,10,5.8,mww,83,135,1.945,0.69,us,us7000nqwx,2024-11-11T12:22:12.898Z,"79 km SE of Burica, Panama",earthquake,6.91,1.87,0.044,50,reviewed,us,us
2024-11-09T19:17:07.885Z,-24.2568,178.8975,536.904,4.7,mb,62,72,5.739,0.93,us,us7000nqwt,2024-11-09T19:34:58.040Z,"south of the Fiji Islands",earthquake,11.21,8.196,0.043,162,reviewed,us,us
2024-11-09T19:08:50.647Z,-8.0523,162.6312,10,4.9,mb,42,106,2.989,0.85,us,us7000nqws,2024-11-09T21:52:14.040Z,"227 km ENE of Auki, Solomon Islands",earthquake,11.06,1.861,0.054,110,reviewed,us,us
2024-11-09T18:48:57.404Z,56.3628,-34.0215,10,4.7,mb,127,67,8.798,0.67,us,us7000nqwr,2024-11-09T19:43:48.040Z,"Reykjanes Ridge",earthquake,8.9,1.839,0.04,193,reviewed,us,us
2024-11-09T15:52:15.204Z,31.081,131.3899,44.434,4.5,mb,80,104,0.909,1.07,us,us7000nqwe,2024-11-09T16:21:14.040Z,"47 km SSE of Kushima, Japan",earthquake,5.55,5.404,0.073,61,reviewed,us,us
2024-11-09T15:17:53.819Z,25.6202,142.3968,58.273,4.9,mb,102,101,1.482,0.71,us,us7000nqwb,2024-11-09T15:54:28.040Z,"Volcano Islands, Japan region",earthquake,10.06,6.801,0.054,109,reviewed,us,us
2024-11-09T14:47:24.211Z,25.2691,142.7583,52.863,4.7,mb,33,123,1.891,0.82,us,us7000nqw9,2024-11-09T15:08:22.040Z,"Volcano Islands, Japan region",earthquake,13.36,7.259,0.063,75,reviewed,us,us
2024-11-09T14:13:16.496Z,-30.2437,-177.0195,10,4.6,mb,22,139,1.253,0.45,us,us7000nqw4,2024-11-09T14:29:49.040Z,"Kermadec Islands, New Zealand",earthquake,13.49,1.923,0.123,20,reviewed,us,us
2024-11-09T13:45:33.091Z,-25.6414,-13.8292,10,5.1,mb,47,69,26.223,0.56,us,us7000nqw0,2024-11-09T14:02:29.040Z,"southern Mid-Atlantic Ridge",earthquake,8.88,1.884,0.082,49,reviewed,us,us
2024-11-09T11:04:02.567Z,7.6037,-82.485,10,4.5,mb,50,141,1.812,0.58,us,us7000nqvb,2024-11-10T05:48:02.040Z,"63 km SE of Burica, Panama",earthquake,7.69,1.92,0.094,33,reviewed,us,us
2024-11-09T10:15:46.730Z,19.6238,-65.3376,74,4.68,md,29,223,1.3247,0.36,pr,pr2024314000,2024-11-10T22:30:30.936Z,"142 km NNE of Vieques, Puerto Rico",earthquake,3.01,8.109,0.08,26,reviewed,pr,pr
2024-11-09T10:03:40.677Z,7.4811,-82.4229,10,5.6,mww,71,144,1.948,0.76,us,us7000nqv1,2024-11-11T14:02:31.040Z,"78 km SE of Burica, Panama",earthquake,7.79,1.882,0.044,49,reviewed,us,us
2024-11-09T08:22:20.177Z,-19.786,-175.3375,219.192,4.7,mb,27,101,5.154,0.99,us,us7000nquv,2024-11-09T08:38:15.040Z,"103 km W of Pangai, Tonga",earthquake,14.66,13.688,0.117,22,reviewed,us,us
2024-11-09T07:57:08.635Z,-0.9121,134.4599,59.375,4.6,mb,29,77,2.976,0.51,us,us7000nqur,2024-11-09T08:16:19.040Z,"44 km E of Manokwari, Indonesia",earthquake,8.61,7.791,0.103,28,reviewed,us,us
2024-11-09T05:00:39.929Z,32.308,142.4566,10,5,mb,69,98,2.369,0.8,us,us7000nquf,2024-11-09T05:24:59.040Z,"Izu Islands, Japan region",earthquake,7.91,1.854,0.041,196,reviewed,us,us
2024-11-09T02:53:37.947Z,1.0803,121.1367,53.481,4.9,mb,59,63,0.356,1.34,us,us7000nqtx,2024-11-09T03:12:39.040Z,"222 km WNW of Gorontalo, Indonesia",earthquake,4.84,5.936,0.076,57,reviewed,us,us
2024-11-09T01:12:44.321Z,10.1447,125.9884,81.618,4.6,mb,51,100,3.082,0.74,us,us7000nqtc,2024-11-09T01:38:38.040Z,"14 km NNW of Santa Monica, Philippines",earthquake,6.44,7.058,0.075,55,reviewed,us,us
2024-11-08T23:26:33.722Z,25.5116,143.1014,13.697,4.9,mb,43,127,1.779,1.17,us,us7000nqsv,2024-11-08T23:41:56.040Z,"Volcano Islands, Japan region",earthquake,8.1,4.556,0.09,39,reviewed,us,us
2024-11-08T20:06:05.003Z,65.3972,-134.5748,8.052,4.9,mww,263,13,1.563,0.59,us,us7000nqqx,2024-11-09T20:10:19.559Z,"275 km ENE of Dawson City, Canada",earthquake,4.58,3.648,0.075,17,reviewed,us,us
2024-11-08T19:58:45.587Z,52.9089,160.4905,47.414,4.6,mb,81,131,1.119,0.72,us,us7000nqqv,2024-11-08T20:36:54.040Z,"126 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,10.22,5.546,0.06,89,reviewed,us,us
2024-11-08T18:36:50.657Z,25.0682,142.7603,25.859,4.6,mb,94,124,2.084,0.68,us,us7000nqqp,2024-11-08T22:28:12.040Z,"Volcano Islands, Japan region",earthquake,8.54,5.664,0.066,76,reviewed,us,us
2024-11-08T16:31:01.912Z,1.0959,94.396,42.881,4.6,mb,18,217,4.831,0.28,us,us7000nqn9,2024-11-08T17:17:57.040Z,"268 km SW of Sinabang, Indonesia",earthquake,10.14,6.968,0.157,13,reviewed,us,us
2024-11-08T16:23:58.155Z,-25.192,179.9105,512.241,4.5,mb,36,96,4.472,0.9,us,us7000nqmb,2024-11-08T16:37:44.040Z,"south of the Fiji Islands",earthquake,11.55,8.463,0.069,62,reviewed,us,us
2024-11-08T16:17:24.936Z,-25.1464,178.6394,577.205,4.6,mb,31,118,5.099,0.58,us,us7000nqm9,2024-11-08T16:41:21.040Z,"south of the Fiji Islands",earthquake,14.98,12.832,0.103,28,reviewed,us,us
2024-11-08T15:15:12.036Z,-28.7234,-71.5073,38.344,4.6,mb,30,99,0.643,1.08,us,us7000nqly,2024-11-08T15:29:30.040Z,"74 km WSW of Vallenar, Chile",earthquake,5.16,8.467,0.122,21,reviewed,us,us
2024-11-08T14:50:47.698Z,51.3755,-176.6414,35,4.8,mb,40,174,0.574,0.95,us,us7000nqlu,2024-11-08T18:07:21.259Z,"55 km S of Adak, Alaska",earthquake,5.88,1.945,0.035,247,reviewed,us,us
2024-11-08T14:04:01.165Z,38.5367,39.701,10,4.7,mb,41,85,1.202,0.78,us,us7000nqls,2024-11-08T14:51:35.685Z,"24 km SW of Kovancılar, Turkey",earthquake,4.17,1.459,0.11,25,reviewed,us,us
2024-11-08T11:37:57.944Z,-46.786,-76.1693,10,6.2,mww,48,195,2.471,1.06,us,us7000nql2,2024-11-09T11:44:48.478Z,"278 km WNW of Cochrane, Chile",earthquake,7.94,1.928,0.038,68,reviewed,us,us
2024-11-08T10:37:42.503Z,-1.4882,-77.4947,195.917,5.1,mww,60,64,0.53,1.12,us,us7000nqkx,2024-11-08T16:30:27.208Z,"56 km E of Puyo, Ecuador",earthquake,8.01,7.399,0.065,23,reviewed,us,us
2024-11-08T08:01:20.849Z,-4.6946,128.3521,266.72,4.5,mb,24,60,1.557,0.27,us,us7000nqkj,2024-11-08T08:25:17.040Z,"112 km S of Ambon, Indonesia",earthquake,6.98,9.305,0.135,16,reviewed,us,us
2024-11-08T07:25:16.355Z,51.3018,-178.4836,45.599,4.7,mb,49,138,0.326,0.85,us,us7000nqkc,2024-11-08T08:26:18.898Z,"143 km WSW of Adak, Alaska",earthquake,4.27,6.675,0.037,226,reviewed,us,us
2024-11-08T05:00:54.909Z,29.9346,92.3024,10,4.6,mb,42,103,6.516,0.58,us,us7000nqjm,2024-11-08T06:36:09.040Z,"120 km ENE of Lhasa, China",earthquake,10.17,1.873,0.098,31,reviewed,us,us
2024-11-08T02:53:22.940Z,-41.4541,-84.6349,10,5,mb,31,138,9.055,0.86,us,us7000nqj9,2024-11-08T03:19:04.040Z,"West Chile Rise",earthquake,13.46,1.894,0.049,132,reviewed,us,us
2024-11-08T01:17:19.591Z,25.5174,142.6689,22.218,4.6,mb,54,130,1.631,0.54,us,us7000nqj5,2024-11-08T01:39:31.040Z,"Volcano Islands, Japan region",earthquake,13.3,5.702,0.064,73,reviewed,us,us
2024-11-07T21:43:58.242Z,25.425,142.6876,10,4.6,mb,33,132,1.724,0.93,us,us7000nqi9,2024-11-07T22:41:22.040Z,"Volcano Islands, Japan region",earthquake,11.48,1.921,0.109,25,reviewed,us,us
2024-11-07T20:23:10.113Z,25.5101,142.7492,10,4.6,mb,51,123,1.658,0.65,us,us7000nqhg,2024-11-07T21:41:42.040Z,"Volcano Islands, Japan region",earthquake,11.73,1.9,0.081,45,reviewed,us,us
2024-11-07T20:11:24.533Z,25.4807,142.6476,10,4.8,mb,85,98,1.661,0.44,us,us7000nqhf,2024-11-07T21:34:29.040Z,"Volcano Islands, Japan region",earthquake,10.62,1.878,0.045,156,reviewed,us,us
2024-11-07T20:07:06.214Z,25.2754,142.6811,10,4.7,mb,70,112,1.867,0.78,us,us7000nqhd,2024-11-07T21:15:40.040Z,"Volcano Islands, Japan region",earthquake,10.94,1.901,0.074,55,reviewed,us,us
2024-11-07T20:06:29.105Z,25.2908,142.6431,10,4.5,mb,41,146,1.844,0.49,us,us7000nqhs,2024-11-07T21:24:10.040Z,"Volcano Islands, Japan region",earthquake,12.04,1.93,0.095,32,reviewed,us,us
2024-11-07T19:53:54.277Z,25.4663,142.6729,10,5.2,mww,86,116,1.681,0.74,us,us7000nqha,2024-11-07T20:14:51.040Z,"Volcano Islands, Japan region",earthquake,9.58,1.872,0.068,21,reviewed,us,us
2024-11-07T19:12:30.536Z,25.4702,142.8763,10,4.7,mb,72,66,1.734,0.67,us,us7000nqh5,2024-11-07T19:40:31.040Z,"Volcano Islands, Japan region",earthquake,9.46,1.882,0.06,84,reviewed,us,us
2024-11-07T17:07:14.271Z,-5.724,154.336,130.942,4.5,mb,30,96,2.646,0.71,us,us7000nqgq,2024-11-07T17:44:32.040Z,"143 km WNW of Panguna, Papua New Guinea",earthquake,10.79,7.882,0.113,23,reviewed,us,us
2024-11-07T16:42:04.957Z,-5.7029,154.4274,91.464,5.2,mww,54,100,2.71,0.77,us,us7000nqfp,2024-11-07T17:03:18.040Z,"135 km WNW of Panguna, Papua New Guinea",earthquake,7.36,6.862,0.071,19,reviewed,us,us
2024-11-07T15:54:10.882Z,25.5181,142.671,37.757,4.7,mb,40,143,1.631,0.52,us,us7000nqec,2024-11-07T16:25:19.040Z,"Volcano Islands, Japan region",earthquake,9.56,7.066,0.097,32,reviewed,us,us
2024-11-07T14:56:57.938Z,-24.3071,-67.9645,110.798,4.8,mb,51,56,1.363,0.9,us,us7000nqea,2024-11-07T15:11:32.040Z,"156 km S of San Pedro de Atacama, Chile",earthquake,3.75,7.351,0.037,222,reviewed,us,us
2024-11-07T12:05:20.563Z,25.6363,142.4165,29.645,4.7,mb,46,129,1.468,0.8,us,us7000nqe1,2024-11-07T13:46:23.040Z,"Volcano Islands, Japan region",earthquake,12.03,5.931,0.094,34,reviewed,us,us
2024-11-07T09:07:51.634Z,29.2849,130.6395,35,4.9,mb,48,69,2.223,0.94,us,us7000nqdq,2024-11-07T09:39:56.040Z,"105 km S of Koshima, Japan",earthquake,7.36,1.919,0.088,41,reviewed,us,us
2024-11-07T09:00:05.104Z,-56.2107,-27.275,102.654,5.1,mb,46,67,5.612,0.53,us,us7000nqdi,2024-11-07T09:19:45.040Z,"South Sandwich Islands region",earthquake,7.93,6.901,0.079,52,reviewed,us,us
2024-11-07T06:24:38.456Z,-14.757,-75.1545,54.789,5,mb,62,120,3.205,0.8,us,us7000nqcy,2024-11-08T19:41:21.029Z,"12 km SE of Changuillo, Peru",earthquake,8.99,7.342,0.037,236,reviewed,us,us
2024-11-07T04:31:33.207Z,-42.2511,74.8589,10,5.4,mww,96,18,4.911,0.54,us,us7000nqcc,2024-11-11T03:48:00.957Z,"Mid-Indian Ridge",earthquake,9.67,1.727,0.066,22,reviewed,us,us
2024-11-07T02:12:34.367Z,25.4828,142.6825,10,5,mb,56,65,1.667,0.8,us,us7000nqc3,2024-11-11T02:55:49.040Z,"Volcano Islands, Japan region",earthquake,11.06,1.861,0.07,65,reviewed,us,us
2024-11-07T01:55:31.364Z,-30.3078,-177.1614,10,5.5,mb,82,48,1.233,0.48,us,us7000nqc0,2024-11-11T00:36:56.998Z,"Kermadec Islands, New Zealand",earthquake,9.73,1.753,0.035,277,reviewed,us,us
2024-11-07T01:11:47.174Z,25.484,142.8226,10.274,5.2,mww,88,50,1.704,0.47,us,us7000nqby,2024-11-11T00:19:21.040Z,"Volcano Islands, Japan region",earthquake,9.32,3.658,0.075,17,reviewed,us,us
2024-11-06T22:55:04.063Z,25.4621,142.8479,8,5.8,mww,185,23,1.732,0.61,us,us7000nqb9,2024-11-07T23:00:14.451Z,"Volcano Islands, Japan region",earthquake,8.09,1.751,0.056,31,reviewed,us,us
2024-11-06T20:19:56.366Z,29.8251,92.1809,10,4.7,mb,78,44,6.383,0.68,us,us7000nqak,2024-11-06T21:19:46.040Z,"106 km E of Lhasa, China",earthquake,8.13,1.86,0.07,63,reviewed,us,us
2024-11-06T18:06:18.460Z,-7.4485,129.0443,129.956,4.5,mb,30,107,3.03,0.54,us,us7000nqa7,2024-11-06T20:11:14.040Z,"254 km ENE of Lospalos, Timor Leste",earthquake,9.75,7.347,0.118,21,reviewed,us,us
2024-11-06T17:19:36.448Z,23.5462,121.6662,10,5,mwr,74,58,0.904,1.11,us,us7000nqa4,2024-11-07T14:07:24.755Z,"48 km S of Hualien City, Taiwan",earthquake,3.77,1.855,0.068,21,reviewed,us,us
2024-11-06T15:55:08.401Z,-18.0569,-177.8409,434.209,5.9,mww,126,32,3.093,0.9,us,us7000nq9w,2024-11-10T23:58:53.162Z,"Fiji region",earthquake,9.28,5.104,0.054,33,reviewed,us,us
2024-11-06T15:38:47.574Z,-20.8572,-178.643,588.093,5.1,mb,140,28,4.396,0.71,us,us7000nq9t,2024-11-10T23:41:13.040Z,"Fiji region",earthquake,10.29,5.955,0.026,488,reviewed,us,us
2024-11-06T15:27:45.086Z,-11.9576,166.1371,10,4.7,mb,32,186,6.578,0.87,us,us7000nq9s,2024-11-10T23:34:10.040Z,"141 km SSE of Lata, Solomon Islands",earthquake,7.02,1.926,0.11,25,reviewed,us,us
2024-11-06T15:19:34.262Z,-33.6041,-177.6811,35,4.6,mb,22,215,4.334,0.99,us,us7000nq9q,2024-11-10T23:14:44.040Z,"south of the Kermadec Islands",earthquake,6.41,2.011,0.141,15,reviewed,us,us
2024-11-06T14:36:23.490Z,-4.7902,153.302,52.155,5.9,mww,208,20,1.281,0.57,us,us7000nq9e,2024-11-07T14:38:43.103Z,"124 km ESE of Kokopo, Papua New Guinea",earthquake,6.23,4.471,0.043,51,reviewed,us,us
